Bowlers,Country,Match_Played,Innings,Balls,Overs,maiden,Runs,Wkts,BBI,Average,Economy,Strike Rate,4'w,5'w
Mohammed Shami ,IND,7,7,293,48.5,4,257,24,7/57,10.7,5.26,12.2,1,3
A Zampa ,AUS,11,11,576,96,1,515,23,4/8,22.39,5.36,25.04,3,0
D Madushanka ,SL,9,9,470,78.2,4,525,21,5/80,25,6.7,22.38,1,1
JJ Bumrah ,IND,11,11,551,91.5,9,373,20,4/39,18.65,4.06,27.55,1,0
G Coetzee ,SA,8,8,381,63.3,1,396,20,4/44,19.8,6.23,19.05,1,0
Shaheen Shah Afridi ,PAK,9,9,486,81,3,481,18,5/54,26.72,5.93,27,0,1
M Jansen ,SA,9,9,414,69,3,450,17,3/31,26.47,6.52,24.35,0,0
RA Jadeja ,IND,11,11,561,93.3,4,398,16,5/33,24.87,4.25,35.06,0,1
JR Hazlewood ,AUS,11,11,559,93.1,8,449,16,3/38,28.06,4.81,34.93,0,0
MJ Santner ,NZ,10,10,556,92.4,4,449,16,5/59,28.06,4.84,34.75,0,1
BFW de Leede ,NED,9,8,402,67,-,487,16,4/62,30.43,7.26,25.12,1,0
MA Starc ,AUS,10,10,522,87,2,528,16,3/34,33,6.06,32.62,0,0
Haris Rauf ,PAK,9,9,474,79,1,533,16,3/43,33.31,6.74,29.62,0,0
KA Maharaj ,SA,10,10,534,89,1,370,15,4/46,24.66,4.15,35.6,1,0
AU Rashid ,ENG,9,9,478,79.4,1,413,15,3/42,27.53,5.18,31.86,0,0
Kuldeep Yadav ,IND,11,11,571,95.1,2,424,15,2/7,28.26,4.45,38.06,0,0
PJ Cummins ,AUS,11,11,537,89.3,1,515,15,3/51,34.33,5.75,35.8,0,0
Mohammed Siraj ,IND,11,11,495,82.3,6,469,14,3/16,33.5,5.68,35.35,0,0
TA Boult ,NZ,10,10,546,91,6,504,14,3/37,36,5.53,39,0,0
K Rabada ,SA,9,9,437,72.5,7,364,13,3/33,28,4.99,33.61,0,0
PA van Meekeren ,NED,9,9,446,74.2,1,447,12,4/23,37.25,6.01,37.16,1,0
LV van Beek ,NED,8,8,425,70.5,1,476,12,4/74,39.66,6.72,35.41,1,0
DJ Willey ,ENG,6,6,306,51,6,259,11,3/45,23.54,5.07,27.81,0,0
MJ Henry ,NZ,7,7,326,54.2,3,315,11,3/40,28.63,5.79,29.63,0,0
Rashid Khan ,AFG,9,9,519,86.3,2,388,11,3/37,35.27,4.48,47.18,0,0
Mohammad Wasim ,PAK,4,4,229,38.1,2,215,10,3/31,21.5,5.63,22.9,0,0
CR Woakes ,ENG,8,8,330,55,1,298,10,4/54,29.8,5.41,33,1,0
LH Ferguson ,NZ,7,7,324,54,3,301,10,3/19,30.1,5.57,32.4,0,0
L Ngidi ,SA,8,8,363,60.3,6,355,10,2/26,35.5,5.86,36.3,0,0
Mehidy Hasan Miraz ,BAN,9,9,432,72,3,402,10,3/25,40.2,5.58,43.2,0,0
Shoriful Islam ,BAN,8,8,388,64.4,3,409,10,3/75,40.9,6.32,38.8,0,0
A Dutt ,NED,9,9,465,77.3,6,426,10,3/44,42.6,5.49,46.5,0,0
T Shamsi ,SA,4,4,227,37.5,-,212,9,4/60,23.55,5.6,25.22,1,0
Hasan Ali ,PAK,6,6,306,51,2,321,9,4/71,35.66,6.29,34,1,0
Shakib Al Hasan ,BAN,7,7,375,62.3,1,329,9,3/30,36.55,5.26,41.66,0,0
RJW Topley ,ENG,3,3,166,27.4,2,183,8,4/43,22.87,6.61,20.75,1,0
Mohammad Nabi ,AFG,9,9,369,61.3,4,254,8,3/28,31.75,4.13,46.12,0,0
CAK Rajitha ,SL,6,6,294,49,1,336,8,4/50,42,6.85,36.75,1,0
Naveen-ul-Haq ,AFG,8,8,322,53.4,1,352,8,2/47,44,6.55,40.25,0,0
Mujeeb Ur Rahman ,AFG,9,9,491,81.5,2,458,8,3/51,57.25,5.59,61.37,0,0
TG Southee ,NZ,4,4,198,33,-,256,7,3/100,36.57,7.75,28.28,0,0
Azmatullah Omarzai ,AFG,9,9,228,38,1,270,7,2/52,38.57,7.1,32.57,0,0
AD Mathews ,SL,5,5,133,22.1,2,107,6,2/14,17.83,4.82,22.16,0,0
Mahedi Hasan ,BAN,3,3,144,24,-,149,6,4/71,24.83,6.2,24,1,0
Fazalhaq Farooqi ,AFG,6,6,240,40,2,228,6,4/34,38,5.7,40,1,0
GD Phillips ,NZ,10,10,240,40,1,233,6,3/37,38.83,5.82,40,0,0
RE van der Merwe ,NED,8,8,336,56,-,311,6,2/34,51.83,5.55,56,0,0
GJ Maxwell ,AUS,9,8,411,68.3,1,330,6,2/34,55,4.81,68.5,0,0
MA Wood ,ENG,7,7,324,54,1,349,6,2/50,58.16,6.46,54,0,0
M Theekshana ,SL,8,8,428,71.2,1,382,6,2/44,63.66,5.35,71.33,0,0
HH Pandya ,IND,4,4,99,16.3,-,113,5,2/34,22.6,6.84,19.8,0,0
Noor Ahmad ,AFG,4,4,228,38,1,182,5,3/49,36.4,4.78,45.6,0,0
CN Ackermann ,NED,9,9,284,47.2,2,234,5,2/39,46.8,4.94,56.8,0,0
MM Ali ,ENG,6,6,256,42.4,-,248,5,3/42,49.6,5.81,51.2,0,0
Taskin Ahmed ,BAN,7,7,330,55,3,305,5,2/43,61,5.54,66,0,0
R Ravindra ,NZ,10,9,394,65.4,-,393,5,2/21,78.6,5.98,78.8,0,0
Mustafizur Rahman ,BAN,8,8,394,65.4,3,398,5,2/36,79.6,6.06,78.8,0,0
MP Stoinis ,AUS,6,6,114,19,-,143,4,2/40,35.75,7.52,28.5,0,0
AAP Atkinson ,ENG,3,3,144,24,-,146,4,2/45,36.5,6.08,36,0,0
Usama Mir ,PAK,4,4,210,35,-,248,4,2/45,62,7.08,52.5,0,0
Iftikhar Ahmed ,PAK,9,8,288,48,-,262,4,1/16,65.5,5.45,72,0,0
Tanzim Hasan Sakib ,BAN,1,1,60,10,-,80,3,3/80,26.66,8,20,0,0
CBRLS Kumara ,SL,2,2,66,11,-,82,3,3/35,27.33,7.45,22,0,0
Hasan Mahmud ,BAN,2,2,84,14,-,132,3,2/67,44,9.42,28,0,0
LS Livingstone ,ENG,6,6,174,29,1,158,3,1/13,52.66,5.44,58,0,0
LB Williams ,SA,1,1,52,8.4,1,56,2,2/56,28,6.46,26,0,0
SA Abbott ,AUS,1,1,60,10,-,61,2,2/61,30.5,6.1,30,0,0
MR Marsh ,AUS,10,5,78,13,-,96,2,2/19,48,7.38,39,0,0
TM Head ,AUS,6,5,126,21,-,101,2,2/21,50.5,4.8,63,0,0
SN Thakur ,IND,3,3,102,17,-,102,2,1/31,51,6,51,0,0
SM Curran ,ENG,3,3,104,17.2,2,140,2,1/47,70,8.07,52,0,0
JDS Neesham ,NZ,3,3,87,14.3,-,157,2,1/32,78.5,10.82,43.5,0,0
M Pathirana ,SL,2,2,114,19,-,185,2,1/90,92.5,9.73,57,0,0
PVD Chameera ,SL,4,4,188,31.2,3,196,2,1/20,98,6.25,94,0,0
DN Wellalage ,SL,3,3,176,29.2,-,196,2,1/53,98,6.68,88,0,0
Mohammad Nawaz ,PAK,5,5,227,37.5,-,223,2,1/31,111.5,5.89,113.5,0,0
Shadab Khan ,PAK,6,5,228,38,-,237,2,1/45,118.5,6.23,114,0,0
RG Sharma ,IND,11,1,5,0.5,-,7,1,1/7,7,8.4,5,0,0
V Kohli ,IND,11,2,21,3.3,-,15,1,1/13,15,4.28,21,0,0
R Ashwin ,IND,1,1,60,10,1,34,1,1/34,34,3.4,60,0,0
AL Phehlukwayo ,SA,1,1,42,7,-,36,1,1/36,36,5.14,42,0,0
Saqib Zulfiqar ,NED,2,2,30,5,-,40,1,1/25,40,8,30,0,0
JE Root ,ENG,9,2,61,10.1,-,67,1,1/19,67,6.59,61,0,0
AK Markram ,SA,10,4,111,18.3,1,85,1,1/23,85,4.59,111,0,0
